container;item;scale;time
rock_090k.obj;ring.obj;0,159914;11,034
rock_090k.obj;sphere.stl;0,887893;104,626
rock_090k.obj;star.obj;0,221807;20,856
rock_090k.obj;star.stl;0,023086;6,079
rock_090k.obj;stone_1.obj;0,113241;103,061
rock_090k.obj;stone_2.obj;0,739081;91,233
rock_090k.obj;stone_3.obj;0,233608;100,013
rock_090k.obj;stone_4.obj;0,225791;99,282
rock_090k.obj;stone_5.obj;0,110143;69,306
rock_090k.obj;stone_6.obj;0,520778;55,253
rock_090k.obj;stone_7.obj;0,429696;98,184
rock_090k.obj;tetrahedron.stl;0,777016;20,383
rock_090k.obj;torus.stl;0,310591;101,081
rock_090k.obj;tree.stl;0,053958;25,046
rock_118k.obj;apple.stl;0,053303;263,835
rock_118k.obj;arrow.obj;0,286537;61,295
rock_118k.obj;banana.stl;0,470416;94,41
rock_118k.obj;bobbin.stl;0,766295;337,452
rock_118k.obj;convexstone.stl;0,16589;82,249
rock_118k.obj;cube.obj;0,533927;105,484
rock_118k.obj;dagger.stl;0,033854;65,734
rock_118k.obj;dodecahedron.stl;0,310734;198,309
rock_118k.obj;dragon.obj;1,00423;142,841
rock_118k.obj;frustum.stl;0,676907;123,129
rock_118k.obj;gem.stl;0,032986;67,647
rock_118k.obj;helmet.stl;1,22414;184,242
rock_118k.obj;oloid.stl;0,034072;64,142
rock_118k.obj;pig.obj;0,510855;77,564
rock_118k.obj;ring.obj;0,225835;52,759
rock_118k.obj;sphere.stl;1,266084;1321,608
rock_118k.obj;star.obj;0,30229;62,731
rock_118k.obj;star.stl;0,030079;40,864
rock_118k.obj;stone_1.obj;0,162047;85,099
rock_118k.obj;stone_2.obj;0,949284;168,475
rock_118k.obj;stone_3.obj;0,330806;101,33
rock_118k.obj;stone_4.obj;0,322079;79,127
rock_118k.obj;stone_5.obj;0,160168;57,992
rock_118k.obj;stone_6.obj;0,712626;68,1
rock_118k.obj;stone_7.obj;0,628523;86,953
rock_118k.obj;tetrahedron.stl;1,099173;50,512
rock_118k.obj;torus.stl;0,424529;113,839
rock_118k.obj;tree.stl;0,071872;111,822
rock_125k.obj;apple.stl;0,005263;21,85
rock_125k.obj;arrow.obj;0,033825;7,559
rock_125k.obj;banana.stl;0,065455;10,312
rock_125k.obj;bobbin.stl;0,077262;52,875
rock_125k.obj;convexstone.stl;0,021518;13,1
rock_125k.obj;cube.obj;0,065235;9,625
rock_125k.obj;dagger.stl;0,005933;19,164
rock_125k.obj;dodecahedron.stl;0,032488;17,96
rock_125k.obj;dragon.obj;0,120269;145,115
rock_125k.obj;frustum.stl;0,073832;19,245
rock_125k.obj;gem.stl;0,003413;12,713
rock_125k.obj;helmet.stl;0,130687;115,343
rock_125k.obj;oloid.stl;0,003575;35,524
